Date,Hour,Minute,Power (W)
11/3/2013,0,0,2.31
11/3/2013,0,15,2.32
11/3/2013,0,30,2.3
11/3/2013,0,45,2.25
11/3/2013,1,0,2.24
11/3/2013,1,15,2.23
11/3/2013,1,30,2.25
11/3/2013,1,45,2.25
11/3/2013,2,0,2.25
11/3/2013,2,15,2.24
11/3/2013,2,30,2.24
11/3/2013,2,45,2.24
11/3/2013,3,0,2.25
11/3/2013,3,15,2.25
11/3/2013,3,30,2.26
11/3/2013,3,45,2.25
11/3/2013,4,0,2.25
11/3/2013,4,15,2.25
11/3/2013,4,30,2.25
11/3/2013,4,45,2.25
11/3/2013,5,0,2.24
11/3/2013,5,15,2.24
11/3/2013,5,30,2.24
11/3/2013,5,45,2.24
11/3/2013,6,0,2.23
11/3/2013,6,15,2.24
11/3/2013,6,30,2.24
11/3/2013,6,45,2.25
11/3/2013,7,0,2.24
11/3/2013,7,15,2.22
11/3/2013,7,30,2.25
11/3/2013,7,45,2.24
11/3/2013,8,0,2.23
11/3/2013,8,15,2.22
11/3/2013,8,30,2.26
11/3/2013,8,45,2.22
11/3/2013,9,0,2.23
11/3/2013,9,15,2.22
11/3/2013,9,30,2.2
11/3/2013,9,45,2.2
11/3/2013,10,0,2.2
11/3/2013,10,15,2.21
11/3/2013,10,30,2.21
11/3/2013,10,45,2.18
11/3/2013,11,0,2.19
11/3/2013,11,15,2.18
11/3/2013,11,30,2.19
11/3/2013,11,45,2.18
11/4/2013,12,0,2.19
11/4/2013,12,15,2.22
11/4/2013,12,30,2.28
11/4/2013,12,45,2.27
11/4/2013,13,0,2.26
11/4/2013,13,15,2.28
11/4/2013,13,30,2.29
11/4/2013,13,45,2.27
11/4/2013,15,15,2.29
11/4/2013,15,30,2.29
11/4/2013,15,45,2.31
11/4/2013,16,0,2.3
11/4/2013,16,15,2.29
11/4/2013,16,30,2.3
11/4/2013,16,45,2.28
11/4/2013,17,0,2.28
11/4/2013,17,15,2.27
11/4/2013,17,30,2.27
11/4/2013,17,45,2.28
11/4/2013,18,0,2.26
11/4/2013,18,15,2.26
11/4/2013,18,30,2.27
11/4/2013,18,45,2.27
11/4/2013,19,0,2.24
11/4/2013,19,15,2.26
11/4/2013,19,30,2.24
11/4/2013,19,45,2.25
11/4/2013,20,0,2.25
11/4/2013,20,15,2.25
11/4/2013,20,30,2.25
11/4/2013,20,45,2.24
11/4/2013,21,0,2.24
11/4/2013,21,15,2.24
11/4/2013,21,30,2.24
11/4/2013,21,45,2.26
11/4/2013,22,0,2.28
11/4/2013,22,15,2.25
11/4/2013,22,30,2.24
11/4/2013,22,45,2.24
11/4/2013,23,0,2.24
11/4/2013,23,15,2.26
11/4/2013,23,30,2.25
11/4/2013,23,45,2.24
11/4/2013,0,0,2.24
11/4/2013,0,15,2.25
11/4/2013,0,30,2.25
11/4/2013,0,45,2.24
11/4/2013,1,0,2.24
11/4/2013,1,15,2.24
11/4/2013,1,30,2.23
11/4/2013,1,45,2.23
11/4/2013,2,0,2.24
11/4/2013,2,15,2.24
11/4/2013,2,30,2.24
11/4/2013,2,45,2.26
11/4/2013,3,0,3.92
11/4/2013,3,15,3.05
11/4/2013,3,30,2.26
11/4/2013,3,45,2.25
11/4/2013,4,0,2.27
11/4/2013,4,15,2.27
11/4/2013,4,30,2.28
11/4/2013,4,45,2.25
11/4/2013,5,0,2.23
11/4/2013,5,15,2.24
11/4/2013,5,30,2.24
11/4/2013,5,45,2.26
11/4/2013,6,0,2.25
11/4/2013,6,15,2.25
11/4/2013,6,30,2.24
11/4/2013,6,45,2.22
11/4/2013,7,0,2.22
11/4/2013,7,15,3.4
11/4/2013,7,30,2.25
11/4/2013,7,45,2.25
11/4/2013,8,0,2.21
11/4/2013,8,15,2.21
11/4/2013,8,30,2.19
11/4/2013,8,45,2.18
11/4/2013,9,0,2.18
11/4/2013,9,15,2.19
11/4/2013,9,30,2.16
11/4/2013,9,45,2.17
11/4/2013,10,0,2.2
11/4/2013,10,15,2.18
11/4/2013,10,30,2.18
11/4/2013,10,45,2.19
11/4/2013,11,0,2.19
11/4/2013,11,15,2.21
11/4/2013,11,30,2.2
11/4/2013,11,45,2.18
11/5/2013,12,0,2.19
11/5/2013,12,15,2.21
11/5/2013,12,30,2.27
11/5/2013,12,45,2.26
11/5/2013,13,0,2.27
11/5/2013,13,15,2.25
11/5/2013,13,30,2.25
11/5/2013,13,45,2.26
11/5/2013,14,0,2.27
11/5/2013,14,15,2.3
11/5/2013,14,30,2.27
11/5/2013,14,45,2.29
11/5/2013,15,0,2.3
11/5/2013,15,15,2.28
11/5/2013,15,30,2.26
11/5/2013,15,45,2.26
11/5/2013,16,0,2.26
